ID,Address,City,State,Zip,Country
1,3315 Rosecrans St Ste B,San Diego,CA,92110,USA
2,4175 Park Blvd,San Diego,CA,92103,USA
3,1260 Garnet Ave,San Diego,CA,92109,USA
4,4439 Genesee Ave,San Diego,CA,92117,USA
5,3358 Governor Dr,San Diego,CA,92122,USA
6,3015 Clairemont Dr,San Diego,CA,92117,USA
7,8142 Mira Mesa Blvd,San Diego,CA,92126,USA
8,11710 Carmel Mountain Rd,San Diego,CA,92128,USA
9,16415 Paseo Del Sur,San Diego,CA,92127,USA
10,15727 Bernardo Heights Pkwy,San Diego,CA,92128,USA
11,3205 Lemon Grove Ave,Lemon Grove,CA,91945,USA
12,690 3rd Ave,Chula Vista,CA,91910,USA
13,4630 Palm Ave,La Mesa,CA,91941,USA
14,9361 Mission Gorge Rd,Santee,CA,92071,USA
15,13536 Poway Rd,Poway,CA,92064,USA
16,152 N 2nd St,El Cajon,CA,92021,USA
17,878 Eastlake Pkwy Ste 1410,Chula Vista,CA,91914,USA
18,659 Lomas Santa Fe Dr,Solana Beach,CA,92075,USA
19,1327 Encinitas Blvd,Encinitas,CA,92024,USA
20,152 North Ln,El Cajon,CA,92021,USA
21,3243 Camino De Los Coches,Carlsbad,CA,92009,USA
22,33 Via Vera Cruz,San Marcos,CA,92078,USA
23,2634 Gateway Rd,Carlsbad,CA,92009,USA
24,338 Via Vera Cruz Ste 260,San Marcos,CA,92078,USA
25,510 W 13th Ave,Escondido,CA,92025,USA
26,149 S Las Posas Rd,San Marcos,CA,92078,USA
27,2618 El Camino Real,Carlsbad,CA,92008,USA
28,1400 E Vista Way,Vista,CA,92084,USA
