"StoreId","Name","Latitude","Longitude","Address","Street","City","State","Zip_Code","County","Phone","Open Hours","Url","Provider","Updated Date","Country","Stock Ticker"
"6546","Forest","32.9084","-96.8028","11700 Preston Rd Dallas TX 75230","11700 Preston Rd","Dallas","TX","75230","Dallas","214-361-8887","7:00am - 10:00pm Seven days a week","https://www.wholefoodsmarket.com/stores/preston","Whole Foods Market","2020-01-22","USA","AMZN:NASDAQ"
"6610","Las Vegas Blvd","36.0676","-115.174","6689 Las Vegas Blvd. Las Vegas NV 89119","6689 Las Vegas Blvd.","Las Vegas","NV","89119","Clark","702-589-7711","8:00 am to 10:00 pm. Seven days a week","https://www.wholefoodsmarket.com/stores/LVB","Whole Foods Market","2020-01-22","USA","AMZN:NASDAQ"
"6737","Swampscott","42.4792","-70.9048","331 Paradise Rd Swampscott MA 01907","331 Paradise Rd","Swampscott","MA","01907","Essex","781-592-2200","8:00am - 9:00pm seven days a week","https://www.wholefoodsmarket.com/stores/swampscott","Whole Foods Market","2020-01-22","USA","AMZN:NASDAQ"
"6713","Sherman Oaks West","34.1256","-118.479","4520 N. Sepulveda Blvd Sherman Oaks CA 91403","4520 N. Sepulveda Blvd","Sherman Oaks","CA","91403","Los Angeles","818-382-3700","7:00am - 10:00pm Seven days a week","https://www.wholefoodsmarket.com/stores/shermanoaks-west","Whole Foods Market","2020-01-22","USA","AMZN:NASDAQ"
"6679","Portland - Maine","43.6634","-70.2585","2 Somerset St Portland ME 04101","2 Somerset St","Portland","ME","04101","Cumberland","207-774-7711","7:00 am to 10:00 pm. Seven days a week.","https://www.wholefoodsmarket.com/stores/portland-me","Whole Foods Market","2020-01-22","USA","AMZN:NASDAQ"
"5703216","Vernon Hills","42.2411","-87.9437","851 N. Milwaukee Avenue Vernon Hills IL 60061","851 N. Milwaukee Avenue","Vernon Hills","IL","60061","Lake","224-504-3990","8:00 am to 10:00 pm. Seven days a week","https://www.wholefoodsmarket.com/stores/vernonhills","Whole Foods Market","2020-01-22","USA","AMZN:NASDAQ"
"6484","Berkeley","37.8557","-122.26","3000 Telegraph Ave Berkeley CA 94705","3000 Telegraph Ave","Berkeley","CA","94705","Alameda","510-649-1333","Open 8:00 AM - 10:00 PM Every Day","https://www.wholefoodsmarket.com/stores/berkeley","Whole Foods Market","2020-01-22","USA","AMZN:NASDAQ"
"1690316","Columbia - Maryland","39.2139","-76.8558","10275 Little Patuxent Pkwy Columbia MD 21044","10275 Little Patuxent Pkwy","Columbia","MD","21044","Howard","240-865-1827","7:00am-10:00pm Seven days a week.","https://www.wholefoodsmarket.com/stores/columbia-md","Whole Foods Market","2020-01-22","USA","AMZN:NASDAQ"
"6491","Capitola","36.9743","-121.964","1710 41St Avenue Capitola CA 95010","1710 41St Avenue","Capitola","CA","95010","Santa Cruz","831-464-2900","8:00 AM - 9:00 PM Every Day","https://www.wholefoodsmarket.com/stores/capitola","Whole Foods Market","2020-01-22","USA","AMZN:NASDAQ"
"6624","Milwaukee","43.0604","-87.8838","2305 N. Prospect Ave Milwaukee WI 53211","2305 N. Prospect Ave","Milwaukee","WI","53211","Milwaukee","414-223-1500","8:00am to 10:00pm seven days a week","https://www.wholefoodsmarket.com/stores/MLW","Whole Foods Market","2020-01-22","USA","AMZN:NASDAQ"
"6617","Midtown East (E 57Th St)","40.7595","-73.9661","226 East 57Th Street New York NY 10022","226 East 57Th Street","New York","NY","10022","New York","646-497-1222","7:00am to 11:00pm Seven days a week.","https://www.wholefoodsmarket.com/stores/Midtown-East","Whole Foods Market","2020-01-22","USA","AMZN:NASDAQ"
